,Date,name,contract,Delegator APR,Validator APR,Stake Balance,Base Stake,Stake percent,Service fee,Delegation cap,Top up,Number of active nodes,Total number of nodes,Number of delegators,identity,featured,explorerURL,location,rank,score,Check cap if full
0,2022-04-04,Elrond Community Delegation ð,,,,,2182500000000000000000000,25.36,,,852499999999999983221937,873,,,elrondcom,,,,1,107760,
1,2022-04-04,Just Mining,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,12.71,12.71,659070844129711656918828,560000000000000000000000,5.5,1650.0,660999810000000000000000,99070824435496984682976,224,233.0,13100.0,justminingfr,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,France,2,26839,0.0
2,2022-04-04,Istari Vision,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqrhlllls062tu4,11.16,11.16,647475840805737274044929,342500000000000000000000,5.41,1700.0,0,304975840805737274044796,137,137.0,5843.0,istari_vision,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqrhlllls062tu4,Switzerland & Germany,3,16439,0.0
3,2022-04-04,Staking Agency,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhllllsajxzat,12.55,12.55,592811618661502153757240,455000000000000000000000,4.95,1500.0,600000000000000000000000,137804372646853340875538,182,182.0,10603.0,staking_agency,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhllllsajxzat,Romania,4,21839,0.0
4,2022-04-04,Partner Staking,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9hllllsz2je7q,12.01,12.01,388653370167848721225465,265000000000000000000000,3.24,1600.0,400000000000000000000000,123653370167848721225394,106,106.0,10200.0,partnerstaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9hllllsz2je7q,Bucharest,5,12720,0.0
5,2022-04-04,â¡ï¸Trust Stakingâ¡ï¸,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqzhllllsp9wvyl,11.72,11.72,382555222728414816434821,175000000000000000000000,3.21,1000.0,0,210100881146628066291309,70,69.0,12799.0,truststaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqzhllllsp9wvyl,England-Romania-USA-Swiss,6,8400,0.0
6,2022-04-04,Binance Staking,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc0llllsayxegu,10.95,10.95,304427990440325576144701,75000000000000000000000,2.54,792.0,0,229427990440325576144700,30,30.0,13748.0,binance_staking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc0llllsayxegu,,7,3600,1.0
7,2022-04-04,The Palm Tree Network,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqy8lllls62y8s5,12.07,12.07,226873745226059149852186,212500000000000000000000,2.29,1700.0,232500000000000000000000,62324734886828437474396,85,68.0,5346.0,thepalmtreenw,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqy8lllls62y8s5,Barcelona,8,10440,0.0
8,2022-04-04,MGStaking,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9lllllsf3mp40,12.07,12.07,204117149874949299286888,107500000000000000000000,1.7,100.0,220000000000000000000000,96614163221995969286880,43,51.0,8329.0,mgstaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9lllllsf3mp40,Bucharest,9,4680,0.0
9,2022-04-04,Empress Staking ð¥ 1 percent fee until 2024 ð¥,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqg8llllsqra25h,12.91,12.91,198156479231945632009194,90000000000000000000000,1.65,100.0,200135000000000000000000,108156479231945632009176,36,41.0,7247.0,empress_genmei,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqg8llllsqra25h,https://t.me/empress_staking,10,4320,0.0
10,2022-04-04,Chain State Labs,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqphllllsndz99p,12.67,12.67,194780982143717136455324,125000000000000000000000,1.62,1000.0,195000000000000000000000,69780982143717136455300,50,50.0,1582.0,cslabsio,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqphllllsndz99p,,11,6000,0.0
11,2022-04-04,ARC Stake,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqz8llllsh6u4jp,12.06,12.06,181049399986020721680634,127500000000000000000000,1.57,1500.0,220000000000000000000000,61100260261932437752827,51,48.0,6873.0,arcstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqz8llllsh6u4jp,"Sibiu, Romania",12,6120,0.0
12,2022-04-04,PrimalBlock,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx8llllsxavffq,13.62,13.62,180004197089257981646858,150000000000000000000000,1.5,1000.0,180000000000000000000000,30004175185774587918180,60,100.0,5535.0,primalblock,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx8llllsxavffq,Matrix,13,7200,0.0
13,2022-04-04,Helios Staking ð¥â,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx0llllsdx93z0,12.19,12.19,174232366738745913837798,95000000000000000000000,1.45,1000.0,175000000000000000000000,79232366738745913837796,38,110.0,5378.0,heliosstaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqx0llllsdx93z0,"Amsterdam, the Netherlands",14,4560,0.0
14,2022-04-04,âï¸ Valid Blocks,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,12.41,12.41,156941048665730976098114,112500000000000000000000,1.41,700.0,180000000000000000000000,56941048665730976098080,45,40.0,5375.0,validblocks,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,"Sibiu, Romania",15,5120,0.0
15,2022-04-04,Everstake company,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq28llllsu54ydr,11.87,11.87,161638537654397863580811,110000000000000000000000,1.35,1500.0,182000000000000000000000,51638537654397863580796,44,100.0,5228.0,everstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq28llllsu54ydr,"Kyiv, Ukraine",16,5160,0.0
16,2022-04-04,Alchemist Stake,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqfhllllscrt56r,12.32,12.32,152970123482154777272726,87500000000000000000000,1.27,1000.0,157000000000000000000000,65594324376643310512425,35,42.0,7815.0,stakeborg,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqfhllllscrt56r,,17,4200,1.0
17,2022-04-04,Equinoxe Capital,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh0lllls49nadp,12.33,12.33,152750625652685202949529,50000000000000000000000,1.27,1.0,0,102750625652685202949520,20,26.0,2036.0,equinoxecapital,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh0lllls49nadp,Romania,18,2399,1.0
18,2022-04-04,UnitedGroup,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqzllllls27850s,12.88,12.88,140387377700619730758383,117500000000000000000000,1.17,1500.0,180000000000000000000000,22887377700619730758337,47,47.0,3508.0,unitedgroup,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqzllllls27850s,Sibiu - Romania,19,5640,0.0
19,2022-04-04,Oxsy AI,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp8lllls9jsunl,7.9,7.9,5248001197503338613609,92500000000000000000000,1.04,0.0,5000000000000000000000,32749001197503338613594,37,2.0,7.0,oxsy,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqp8lllls9jsunl,"Sibiu, Romania",20,5120,0.0
20,2022-04-04,ProCrypto ð Distributed Staking,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqxlllllsmehg53,12.2,12.2,119040432310513088424454,95000000000000000000000,0.99,300.0,129129000000000000000000,24040372537536026820352,38,44.0,8100.0,procryptostaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqxlllllsmehg53,Global,22,3825,0.0
21,2022-04-04,â¡ï¸Middle Staking ð«ð·,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqyhllllsv4k7x2,12.7,12.7,90717384307411370650622,72500000000000000000000,0.75,1500.0,92000000000000000000000,18217384307411370650616,29,55.0,2970.0,middlestakingfr,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqyhllllsv4k7x2,France,24,3479,0.0
22,2022-04-04,P2P Validator,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqm8llllsyhrgzd,11.77,11.77,69803557875850276372115,42500000000000000000000,0.58,1000.0,80000000000000000000000,27303528701228088238542,17,17.0,1158.0,p2p_org_,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqm8llllsyhrgzd,Milky Way,28,1919,1.0
23,2022-04-04,Carpathian Stake,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqy0lllls33dlmm,11.8,11.8,49673880464683037417096,55000000000000000000000,0.56,1600.0,60000000000000000000000,12673880464683037417088,22,90.0,3678.0,carpathianstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqy0lllls33dlmm,Sibiu in the â¥ of the Carpathian mountains,29,2614,0.0
24,2022-04-04,Trust Staking US,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq08llllsrvplwg,11.72,11.72,63624095584927918171514,37500000000000000000000,0.53,1500.0,100000000000000000000000,26124095584927918171500,15,15.0,762.0,truststakingus,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq08llllsrvplwg,United States,30,1799,1.0
25,2022-04-04,Forbole,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,11.77,11.77,62369640820029087226707,37500000000000000000000,0.52,1500.0,85000000000000000000000,24869640820029087226695,15,22.0,1056.0,forbole,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,Cosmos,31,1799,0.0
26,2022-04-04,Titan Stake,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqr8llllse9cj2t,12.83,12.83,57460427511188781961785,47500000000000000000000,0.47,1500.0,62000000000000000000000,9930427511188781961781,19,19.0,1507.0,titanstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqr8llllse9cj2t,"Sibiu, Romania",33,2239,0.0
27,2022-04-04,Stake Capital,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq20llllsh0uuxv,12.03,12.03,57177662103227778619125,37500000000000000000000,0.47,1500.0,97049370000000000000000,19677659229910311907470,15,15.0,4836.0,stakecapital_,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq20llllsh0uuxv,,34,1799,1.0
28,2022-04-04,Incal (16 nodes + 3 queued)âï¸,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd8llllslmf3hu,13.38,13.38,54999380556018331032014,40000000000000000000000,0.45,800.0,55000000000000000000000,14999380556018331032000,16,20.0,1867.0,incal,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd8llllslmf3hu,Decentralized,35,1919,0.0
29,2022-04-04,Blockdaemon,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqu8lllls8clacj,11.08,11.08,54267714852714907466418,17500000000000000000000,0.45,1000.0,0,36767714852714907466412,7,7.0,555.0,bd_validators,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqu8lllls8clacj,,36,840,1.0
