Date,contract,name,Delegator APR,Validator APR,Stake Balance,Base Stake,locked,Stake percent,Service fee,Delegation cap,Top up,Number of active nodes,Total number of nodes,Number of delegators,identity,featured,explorerURL,location,rank,score,Check cap if full
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3lllllsw2eke2,Hyperblocks Professional Service,12.05,13.39,39487733273214115011486,20000000000000000000000,39487733273214115011480,0.32,1000.0,50000000000000000000000,19487733273214115011480,8,8.0,1239.0,hyperblockspro,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq3lllllsw2eke2,Singapore,45,960,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,Forbole,11.79,13.86,63385204500589353211785,37500000000000000000000,63385204500589353211785,0.52,1500.0,85000000000000000000000,25885204500589353211785,15,22.0,742.0,forbole,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq40llllsfjmn54,Cosmos,33,1799,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq48llllszfjtl6,Gandalf Staking,12.81,12.88,48143257257400495067686,20000000000000000000000,48143252049342641581072,0.39,69.0,50000000000000000000000,28143252049342641581072,8,8.0,1419.0,gandalfnetwork,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq48llllszfjtl6,Middle Earth,39,960,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq4lllllsldf2zt,art3mis.cloud,12.88,13.01,5699126739418009536782,2500000000000000000000,5699126739418009536782,0.04,100.0,5700000000000000000000,3199126739418009536782,1,1.0,414.0,art3mis,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq4lllllsldf2zt,,107,120,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq50lllls8dl5vl,Parasco Staking,10.41,15.63,16465767831396237155292,15000000000000000000000,16465767831396237155292,0.13,1.0,18000000000000000000000,1465767831396237155292,6,6.0,1174.0,parasco1,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq50lllls8dl5vl,Romania,76,464,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq58llllsvkkv8s,B-Harvest,12.39,14.45,50166881885780661110274,35000000000000000000000,50166881885780661110270,0.41,1.0,50000000000000000000000,15166881885780661110270,14,20.0,1995.0,bharvest,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq58llllsvkkv8s,South Korea,37,1429,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5hlllls6fy43w,RAF STAKING,12.54,14.25,26427603765901168227629,17500000000000000000000,26427603765901168227628,0.21,1200.0,32000000000000000000000,8927603765901168227628,7,7.0,1562.0,raf_stake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5hlllls6fy43w,,59,840,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5llllls3jdd6p,Xylius,11.91,15.89,5215073924537125988188,5000000000000000000000,5215073924537125988188,0.04,2500.0,5700000000000000000000,215073924537125988188,2,2.0,78.0,xylius,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq5llllls3jdd6p,,108,240,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq68lllls2g8068,WeStake,11.27,15.18,12041542765785537332171,10000000000000000000000,12041542765785537332168,0.09,100.0,15000000000000000000000,2041542765785537332168,4,4.0,772.0,westake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq68lllls2g8068,Europe,82,359,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq6hllllsuh4kve,Trust Staking RO,13.5,13.5,4741950459401081540980,2500000000000000000000,4741950459401081540980,0.03,0.0,4742000000000000000000,2241950459401081540980,1,1.0,545.0,truststakingro,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq6hllllsuh4kve,Romania,117,120,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq80llllsrepk69,CastleStake,11.09,12.59,20651123989509862460741,7500000000000000000000,20651123989509862460739,0.17,1200.0,25000000000000000000000,13151123989509862460739,3,15.0,1572.0,castlestake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq80llllsrepk69,"Cristian,Sibiu",69,359,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,Just Mining,12.77,15.28,660978336556071916496294,560000000000000000000000,660978336556071916496128,5.46,1650.0,660999810000000000000000,100978336556071916496128,224,233.0,12944.0,justminingfr,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8hlllls7a6h85,France,2,26864,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8llllls4xn0vm,CryptoBay,12.72,14.46,24998495650895880748367,17500000000000000000000,24998495650895880748362,0.2,1200.0,25000000000000000000000,7498495650895880748362,7,7.0,1535.0,cryptobay,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq8llllls4xn0vm,Earth,61,840,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,âï¸ Valid Blocks,12.35,13.43,206461741126474804982085,112500000000000000000000,218961741126474804982080,1.81,700.0,220000000000000000000000,106461741126474804982080,45,40.0,5212.0,validblocks,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq90llllslwfcr3,"Sibiu, Romania",10,5400,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq98lllls54qqg7,christstake.com,12.64,15.17,36207222490606756084471,30000000000000000000000,36207222490606756084464,0.29,1.0,75000000000000000000000,6207222490606756084464,12,42.0,2973.0,christstake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq98lllls54qqg7,Universe and beyond,49,1195,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9hllllsz2je7q,Partner Staking,11.89,14.14,413016381806505378268903,265000000000000000000000,413016381806505378268808,3.41,1600.0,435000000000000000000000,148016381806505378268808,106,106.0,7378.0,partnerstaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9hllllsz2je7q,Romania,5,12720,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9lllllsf3mp40,MGStaking,12.42,13.4,226000049300930753052443,115000000000000000000000,226000049300930753052414,1.86,100.0,226000000000000000000000,111000049300930753052414,46,51.0,10585.0,mgstaking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqq9lllllsf3mp40,Bucharest,9,5135,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqa0llllszujzth,Restake,12.14,13.49,9508777939317551911403,5000000000000000000000,9508777939317551911402,0.07,1000.0,0,4508777939317551911402,2,2.0,168.0,restake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqa0llllszujzth,,90,240,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqa8llllsf8m6qc,XQ Company,12.61,12.73,6437248668427235038406,2500000000000000000000,6437248668427235038406,0.05,100.0,7500000000000000000000,3937248668427235038406,1,1.0,434.0,xqcompany,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqa8llllsf8m6qc,,105,120,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqahllllslcfrkx,Swigs Staking,0.0,15.61,2757191800435185833662,2500000000000000000000,2757191800435185833662,0.02,1500.0,0,257191800435185833662,1,2.0,12.0,swigsstaking,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqahllllslcfrkx,Switzerland,251,0,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc0llllsayxegu,Binance Staking,11.0,11.93,306997685789352692017066,75000000000000000000000,306997685789352692017050,2.53,792.0,0,231997685789352692017050,30,30.0,8129.0,binance_staking,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc0llllsayxegu,,7,3600,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc8llllskl0prn,Smart Chain Connection,10.29,13.06,44740258684467751944435,20000000000000000000000,44740258684467751944432,0.36,1000.0,0,24740258684467751944432,8,8.0,1473.0,smartchaincnx,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqc8llllskl0prn,"Oregon, USA",41,840,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqchllllsqqac4d,Mr.Reboot,13.94,13.96,4099994995719981735956,2500000000000000000000,4099994995719981735956,0.03,10.0,4100000000000000000000,1599994995719981735956,1,2.0,476.0,newstake,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqchllllsqqac4d,,132,120,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqclllllstm5q7z,Cavaleria Staking,11.79,13.1,21998572503165096939108,10000000000000000000000,21998571840582565626900,0.18,1000.0,22000000000000000000000,11998571840582565626900,4,6.0,2751.0,cavaleria,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqclllllstm5q7z,,66,480,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd0lllls5qqfun,WAVENODE,12.07,14.21,7634650223956299729484,5000000000000000000000,7634650223956299729484,0.06,1500.0,13000000000000000000000,2634650223956299729484,2,3.0,642.0,wavenode,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd0lllls5qqfun,,98,240,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd8llllslmf3hu,Incal (16 nodes)âï¸,13.41,14.73,55650720499308900969056,47500000000000000000000,63463077120423429730535,0.52,800.0,55650000000000000000000,15963077120423429730535,19,20.0,1755.0,incal,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqd8llllslmf3hu,Decentralized,32,2279,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqdhllllsfymgpz,â¡ï¸Tortuga Stakingâ¡ï¸,10.02,15.04,9328561221513804935244,7500000000000000000000,9328561221513804935244,0.07,1.0,11000000000000000000000,1828561221513804935244,3,4.0,936.0,tortugax,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqdhllllsfymgpz,Sibiu-Romania,92,240,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqdlllllszljs2d,ð¨ðµ Kevin â¡ï¸,9.36,15.62,2750910062514943027776,2500000000000000000000,2750910062514943027776,0.02,4000.0,0,250910062514943027776,1,1.0,45.0,kevinlallement,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqdlllllszljs2d,France,252,120,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqe8llllscqtxme,Woodstock Fund,11.2,12.44,37299953041115325791733,12500000000000000000000,37299953041115325791730,0.3,1000.0,50000000000000000000000,24799953041115325791730,5,5.0,763.0,woodstockfund,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqe8llllscqtxme,Cayman Islands,47,600,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqehllllswleld8,Aerovek Staking Agency,11.14,13.1,27499999649596930768983,12500000000000000000000,27499999649596930768980,0.22,1500.0,27500000000000000000000,14999999649596930768980,5,5.0,1907.0,aerovek,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqehllllswleld8,,55,570,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqf0lllls98s48j,New Age Staking,15.99,15.9,7657233743053060162801,10000000000000000000000,10416233743053060162800,0.08,1.0,7501000000000000000000,416233743053060162800,4,3.0,4.0,n_a_s,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqf0lllls98s48j,,85,480,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqf8llllswuedva,Sikka,13.5,15.5,45058725129369145397010,40000000000000000000000,45058725129369145397008,0.37,1300.0,45001000000000000000000,5058725129369145397008,16,20.0,2935.0,sikka_tech,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqf8llllswuedva,"Berkeley, CA",40,1919,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqfhllllscrt56r,Alchemist Stake,12.37,13.73,153925393796434841499855,87500000000000000000000,153925393796434841499835,1.27,1000.0,157000000000000000000000,66425393796434841499835,35,42.0,7522.0,stakeborg,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqfhllllscrt56r,,18,4200,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqg8llllsqra25h,Empress Staking ð¥ 1 percent fee until 2024 ð¥,12.96,13.07,200034418746633520951936,90000000000000000000000,200030958746633520951912,1.65,100.0,200035000000000000000000,110030958746633520951912,36,41.0,7731.0,empress_genmei,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqg8llllsqra25h,https://t.me/empress_staking,11,4320,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqghllllsku0nzf,Easy 2 Stake,12.24,14.4,28982190175412908403924,20000000000000000000000,28982190175412908403920,0.23,1500.0,29000000000000000000000,8982190175412908403920,8,12.0,1677.0,easy2stake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqghllllsku0nzf,,54,960,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqglllllsa8xtfx,StakeCON,12.19,13.17,21398696720654958203981,10000000000000000000000,21398696720654958203980,0.17,750.0,26500000000000000000000,11398696720654958203980,4,5.0,984.0,stakecon,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqglllllsa8xtfx,"Sibiu, Romania",67,480,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh0lllls49nadp,Equinoxe Capital,12.61,12.6,137185321064140788452862,50000000000000000000000,137185258718352709483640,1.13,1.0,0,87185258718352709483640,20,26.0,1581.0,equinoxecapital,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqh0lllls49nadp,Romania,19,2399,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhhllllsgpguss,Cryptobizz,12.4,14.6,3449485754942405408874,2500000000000000000000,3449474236754043450230,0.02,1500.0,10000000000000000000000,949474236754043450230,1,1.0,240.0,cryptobizz,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhhllllsgpguss,Sibiu,222,120,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhlllllsr6pyml,MyCointainer,11.92,13.24,10412491638313210709566,5000000000000000000000,10412491638313210709566,0.08,1000.0,0,5412491638313210709566,2,2.0,668.0,myc_devops,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqhlllllsr6pyml,,86,240,1.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqj0lllls2a8xw2,Moonlorian Stake,11.64,12.92,23634924909322919461566,10000000000000000000000,23634924909322919461564,0.19,1000.0,23950000000000000000000,13634924909322919461564,4,4.0,669.0,moonlorianstake,1.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqj0lllls2a8xw2,www.moonlorian.com/stake,63,480,0.0
2022-05-11,erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqj8llllspxw799,Galaxy Staking,12.54,15.09,18426239588194739800413,15000000000000000000000,18426239588194739800410,0.15,22.0,18765432100000000000000,3426239588194739800410,6,6.0,1353.0,galaxyone,0.0,https://explorer.elrond.com/providers/erd1qqqqqqqqqqqqqqqpqqqqqqqqqqqqqqqqqqqqqqqqqqqqqj8llllspxw799,Romania,74,600,0.0
